Ticker,Sector,SubIndustry,SectorIndex
BCC,Basic Materials,Lumber & Wood Production,XLB
AMR,Basic Materials,Coking Coal,XLB
ACNT,Basic Materials,Steel,XLB
CMC,Basic Materials,Steel,XLB
AVD,Basic Materials,Agricultural Inputs,XLB
ASPI,Basic Materials,Chemicals,XLB
ASIX,Basic Materials,Chemicals,XLB
AVNT,Basic Materials,Specialty Chemicals,XLB
CLMT,Basic Materials,Specialty Chemicals,XLB
GEVO,Basic Materials,Specialty Chemicals,XLB
BCPC,Basic Materials,Specialty Chemicals,XLB
CMCL,Basic Materials,Gold,XLB
CDE,Basic Materials,Gold,XLB
CSTM,Basic Materials,Aluminum,XLB
CC,Basic Materials,Specialty Chemicals,XLB
FUL,Basic Materials,Specialty Chemicals,XLB
CLW,Basic Materials,Paper & Paper Products,XLB
HL,Basic Materials,Other Precious Metals & Mining,XLB
IPI,Basic Materials,Agricultural Inputs,XLB
CMP,Basic Materials,Other Industrial Metals & Mining,XLB
CENX,Basic Materials,Aluminum,XLB
CTGO,Basic Materials,Gold,XLB
CBT,Basic Materials,Specialty Chemicals,XLB
IDR,Basic Materials,Gold,XLB
DC,Basic Materials,Gold,XLB
MATV,Basic Materials,Specialty Chemicals,XLB
IOSP,Basic Materials,Specialty Chemicals,XLB
CMT,Basic Materials,Specialty Chemicals,XLB
ECVT,Basic Materials,Specialty Chemicals,XLB
FRD,Basic Materials,Steel,XLB
CRML,Basic Materials,Other Industrial Metals & Mining,XLB
IE,Basic Materials,Copper,XLB
HCC,Basic Materials,Coking Coal,XLB
NB,Basic Materials,Other Industrial Metals & Mining,XLB
KNF,Basic Materials,Building Materials,XLB
FF,Basic Materials,Specialty Chemicals,XLB
GPRE,Basic Materials,Chemicals,XLB
GSM,Basic Materials,Other Industrial Metals & Mining,XLB
HWKN,Basic Materials,Specialty Chemicals,XLB
RYAM,Basic Materials,Chemicals,XLB
HDSN,Basic Materials,Specialty Chemicals,XLB
OEC,Basic Materials,Specialty Chemicals,XLB
KOP,Basic Materials,Specialty Chemicals,XLB
KALU,Basic Materials,Aluminum,XLB
MNTK,Basic Materials,Specialty Chemicals,XLB
METC,Basic Materials,Coking Coal,XLB
KRO,Basic Materials,Specialty Chemicals,XLB
SLVM,Basic Materials,Paper & Paper Products,XLB
SSRM,Basic Materials,Gold,XLB
PRM,Basic Materials,Specialty Chemicals,XLB
LXU,Basic Materials,Chemicals,XLB
MTRN,Basic Materials,Other Industrial Metals & Mining,XLB
PPTA,Basic Materials,Other Precious Metals & Mining,XLB
NG,Basic Materials,Gold,XLB
KWR,Basic Materials,Specialty Chemicals,XLB
SMID,Basic Materials,Building Materials,XLB
TROX,Basic Materials,Chemicals,XLB
SXC,Basic Materials,Coking Coal,XLB
MAGN,Basic Materials,Paper & Paper Products,XLB
MTX,Basic Materials,Specialty Chemicals,XLB
REX,Basic Materials,Chemicals,XLB
NGVT,Basic Materials,Specialty Chemicals,XLB
NWPX,Basic Materials,Steel,XLB
TGLS,Basic Materials,Building Materials,XLB
VHI,Basic Materials,Chemicals,XLB
SXT,Basic Materials,Specialty Chemicals,XLB
MTAL,Basic Materials,Copper,XLB
MTUS,Basic Materials,Steel,XLB
TSE,Basic Materials,Specialty Chemicals,XLB
SCL,Basic Materials,Specialty Chemicals,XLB
LZM,Basic Materials,Other Industrial Metals & Mining,XLB
USAU,Basic Materials,Gold,XLB
TTAM,Basic Materials,Building Materials,XLB
WS,Basic Materials,Steel,XLB
WDFC,Basic Materials,Specialty Chemicals,XLB
ODC,Basic Materials,Specialty Chemicals,XLB
VOXR,Basic Materials,Other Precious Metals & Mining,XLB
USGO,Basic Materials,Other Industrial Metals & Mining,XLB
PLL,Basic Materials,Other Industrial Metals & Mining,XLB
USLM,Basic Materials,Building Materials,XLB
UAMY,Basic Materials,Other Industrial Metals & Mining,XLB
UFPI,Basic Materials,Lumber & Wood Production,XLB
ZEUS,Basic Materials,Steel,XLB
MYPS,Communication Services,Electronic Gaming & Multimedia,XLC
YELP,Communication Services,Internet Content & Information,XLC
SSTK,Communication Services,Internet Content & Information,XLC
UPWK,Communication Services,Internet Content & Information,XLC
TEAD,Communication Services,Internet Content & Information,XLC
WOW,Communication Services,Telecom Services,XLC
STRZ,Communication Services,Entertainment,XLC
ZIP,Communication Services,Internet Content & Information,XLC
NXDR,Communication Services,Internet Content & Information,XLC
SHEN,Communication Services,Telecom Services,XLC
STGW,Communication Services,Advertising Agencies,XLC
WLY,Communication Services,Publishing,XLC
WBTN,Communication Services,Internet Content & Information,XLC
SCHL,Communication Services,Publishing,XLC
TRUE,Communication Services,Internet Content & Information,XLC
ZD,Communication Services,Advertising Agencies,XLC
MCS,Communication Services,Entertainment,XLC
NCMI,Communication Services,Advertising Agencies,XLC
SSP,Communication Services,Broadcasting,XLC
TGNA,Communication Services,Broadcasting,XLC
RSVR,Communication Services,Entertainment,XLC
PLTK,Communication Services,Electronic Gaming & Multimedia,XLC
SEAT,Communication Services,Internet Content & Information,XLC
TZOO,Communication Services,Internet Content & Information,XLC
GMGI,Communication Services,Electronic Gaming & Multimedia,XLC
MAX,Communication Services,Internet Content & Information,XLC
NMAX,Communication Services,Broadcasting,XLC
THRY,Communication Services,Internet Content & Information,XLC
SPHR,Communication Services,Entertainment,XLC
NEXN,Communication Services,Advertising Agencies,XLC
LILA,Communication Services,Telecom Services,XLC
QNST,Communication Services,Advertising Agencies,XLC
ADV,Communication Services,Advertising Agencies,XLC
GENI,Communication Services,Internet Content & Information,XLC
IHRT,Communication Services,Broadcasting,XLC
NRDS,Communication Services,Internet Content & Information,XLC
TDS,Communication Services,Telecom Services,XLC
MGNI,Communication Services,Advertising Agencies,XLC
LILAK,Communication Services,Telecom Services,XLC
SATS,Communication Services,Telecom Services,XLC
AREN,Communication Services,Internet Content & Information,XLC
GETY,Communication Services,Internet Content & Information,XLC
GAIA,Communication Services,Entertainment,XLC
RUM,Communication Services,Internet Content & Information,XLC
GOGO,Communication Services,Telecom Services,XLC
GRPN,Communication Services,Internet Content & Information,XLC
BATRK,Communication Services,Entertainment,XLC
SBGI,Communication Services,Broadcasting,XLC
EB,Communication Services,Internet Content & Information,XLC
CABO,Communication Services,Telecom Services,XLC
ANGI,Communication Services,Internet Content & Information,XLC
IDT,Communication Services,Telecom Services,XLC
CURI,Communication Services,Broadcasting,XLC
GSAT,Communication Services,Telecom Services,XLC
CCOI,Communication Services,Telecom Services,XLC
PLAY,Communication Services,Entertainment,XLC
ATUS,Communication Services,Telecom Services,XLC
CARS,Communication Services,Internet Content & Information,XLC
FUBO,Communication Services,Broadcasting,XLC
IAS,Communication Services,Advertising Agencies,XLC
LUMN,Communication Services,Telecom Services,XLC
EVC,Communication Services,Advertising Agencies,XLC
GTN,Communication Services,Broadcasting,XLC
EVER,Communication Services,Internet Content & Information,XLC
GCI,Communication Services,Publishing,XLC
ATEX,Communication Services,Telecom Services,XLC
CXDO,Communication Services,Telecom Services,XLC
ATNI,Communication Services,Telecom Services,XLC
IMAX,Communication Services,Entertainment,XLC
BMBL,Communication Services,Internet Content & Information,XLC
CNK,Communication Services,Entertainment,XLC
EEX,Communication Services,Advertising Agencies,XLC
AMC,Communication Services,Entertainment,XLC
AMCX,Communication Services,Entertainment,XLC
BATRA,Communication Services,Entertainment,XLC
ADNT,Consumer Cyclical,Auto Parts,XLY
CPS,Consumer Cyclical,Auto Parts,XLY
ANF,Consumer Cyclical,Apparel Retail,XLY
DAN,Consumer Cyclical,Auto Parts,XLY
ARHS,Consumer Cyclical,Specialty Retail,XLY
ATMU,Consumer Cyclical,Auto Parts,XLY
BLMN,Consumer Cyclical,Restaurants,XLY
BARK,Consumer Cyclical,Specialty Retail,XLY
AEO,Consumer Cyclical,Apparel Retail,XLY
CPRI,Consumer Cyclical,Luxury Goods,XLY
AAP,Consumer Cyclical,Auto Parts,XLY
EAT,Consumer Cyclical,Restaurants,XLY
ACVA,Consumer Cyclical,Auto & Truck Dealerships,XLY
ASO,Consumer Cyclical,Specialty Retail,XLY
CURV,Consumer Cyclical,Apparel Retail,XLY
BALY,Consumer Cyclical,Resorts & Casinos,XLY
ARKO,Consumer Cyclical,Specialty Retail,XLY
CARG,Consumer Cyclical,Auto & Truck Dealerships,XLY
ABG,Consumer Cyclical,Auto & Truck Dealerships,XLY
BRSL,Consumer Cyclical,Gambling,XLY
ACEL,Consumer Cyclical,Gambling,XLY
CSV,Consumer Cyclical,Personal Services,XLY
CTRN,Consumer Cyclical,Apparel Retail,XLY
CNNE,Consumer Cyclical,Restaurants,XLY
BJRI,Consumer Cyclical,Restaurants,XLY
DIN,Consumer Cyclical,Restaurants,XLY
AOUT,Consumer Cyclical,Leisure,XLY
CWH,Consumer Cyclical,Auto & Truck Dealerships,XLY
BYON,Consumer Cyclical,Internet Retail,XLY
BNED,Consumer Cyclical,Specialty Retail,XLY
CVCO,Consumer Cyclical,Residential Construction,XLY
DENN,Consumer Cyclical,Restaurants,XLY
BKE,Consumer Cyclical,Apparel Retail,XLY
FIGS,Consumer Cyclical,Apparel Manufacturing,XLY
BBW,Consumer Cyclical,Specialty Retail,XLY
AIN,Consumer Cyclical,Textile Manufacturing,XLY
BZH,Consumer Cyclical,Residential Construction,XLY
EVGO,Consumer Cyclical,Specialty Retail,XLY
FNKO,Consumer Cyclical,Leisure,XLY
DFH,Consumer Cyclical,Residential Construction,XLY
CRMT,Consumer Cyclical,Auto & Truck Dealerships,XLY
CAKE,Consumer Cyclical,Restaurants,XLY
ELA,Consumer Cyclical,Luxury Goods,XLY
AXL,Consumer Cyclical,Auto Parts,XLY
COOK,Consumer Cyclical,"Furnishings, Fixtures & Appliances",XLY
DORM,Consumer Cyclical,Auto Parts,XLY
GOLF,Consumer Cyclical,Leisure,XLY
AMBP,Consumer Cyclical,Packaging & Containers,XLY
CRI,Consumer Cyclical,Apparel Retail,XLY
CAL,Consumer Cyclical,Apparel Retail,XLY
DBI,Consumer Cyclical,Footwear & Accessories,XLY
BOOT,Consumer Cyclical,Apparel Retail,XLY
LVWR,Consumer Cyclical,Auto Manufacturers,XLY
DRVN,Consumer Cyclical,Auto & Truck Dealerships,XLY
