Ticker,Sector,SubIndustry,SectorIndex
CF,Basic Materials,Agricultural Inputs,XLB
CTVA,Basic Materials,Agricultural Inputs,XLB
MOS,Basic Materials,Agricultural Inputs,XLB
MLM,Basic Materials,Building Materials,XLB
VMC,Basic Materials,Building Materials,XLB
DOW,Basic Materials,Chemicals,XLB
FCX,Basic Materials,Copper,XLB
NEM,Basic Materials,Gold,XLB
ALB,Basic Materials,Specialty Chemicals,XLB
APD,Basic Materials,Specialty Chemicals,XLB
DD,Basic Materials,Specialty Chemicals,XLB
ECL,Basic Materials,Specialty Chemicals,XLB
EMN,Basic Materials,Specialty Chemicals,XLB
IFF,Basic Materials,Specialty Chemicals,XLB
LIN,Basic Materials,Specialty Chemicals,XLB
LYB,Basic Materials,Specialty Chemicals,XLB
PPG,Basic Materials,Specialty Chemicals,XLB
SHW,Basic Materials,Specialty Chemicals,XLB
NUE,Basic Materials,Steel,XLB
STLD,Basic Materials,Steel,XLB
IPG,Communication Services,Advertising Agencies,XLC
OMC,Communication Services,Advertising Agencies,XLC
TTD,Communication Services,Advertising Agencies,XLC
EA,Communication Services,Electronic Gaming & Multimedia,XLC
TTWO,Communication Services,Electronic Gaming & Multimedia,XLC
DIS,Communication Services,Entertainment,XLC
FOX,Communication Services,Entertainment,XLC
FOXA,Communication Services,Entertainment,XLC
LYV,Communication Services,Entertainment,XLC
NFLX,Communication Services,Entertainment,XLC
NWS,Communication Services,Entertainment,XLC
NWSA,Communication Services,Entertainment,XLC
PSKY,Communication Services,Entertainment,XLC
TKO,Communication Services,Entertainment,XLC
WBD,Communication Services,Entertainment,XLC
GOOG,Communication Services,Internet Content & Information,XLC
GOOGL,Communication Services,Internet Content & Information,XLC
META,Communication Services,Internet Content & Information,XLC
MTCH,Communication Services,Internet Content & Information,XLC
CHTR,Communication Services,Telecom Services,XLC
CMCSA,Communication Services,Telecom Services,XLC
T,Communication Services,Telecom Services,XLC
TMUS,Communication Services,Telecom Services,XLC
VZ,Communication Services,Telecom Services,XLC
RL,Consumer Cyclical,Apparel Manufacturing,XLY
LULU,Consumer Cyclical,Apparel Retail,XLY
ROST,Consumer Cyclical,Apparel Retail,XLY
TJX,Consumer Cyclical,Apparel Retail,XLY
KMX,Consumer Cyclical,Auto & Truck Dealerships,XLY
F,Consumer Cyclical,Auto Manufacturers,XLY
GM,Consumer Cyclical,Auto Manufacturers,XLY
TSLA,Consumer Cyclical,Auto Manufacturers,XLY
APTV,Consumer Cyclical,Auto Parts,XLY
AZO,Consumer Cyclical,Auto Parts,XLY
GPC,Consumer Cyclical,Auto Parts,XLY
LKQ,Consumer Cyclical,Auto Parts,XLY
ORLY,Consumer Cyclical,Auto Parts,XLY
DECK,Consumer Cyclical,Footwear & Accessories,XLY
NKE,Consumer Cyclical,Footwear & Accessories,XLY
MHK,Consumer Cyclical,"Furnishings, Fixtures & Appliances",XLY
HD,Consumer Cyclical,Home Improvement Retail,XLY
LOW,Consumer Cyclical,Home Improvement Retail,XLY
AMZN,Consumer Cyclical,Internet Retail,XLY
DASH,Consumer Cyclical,Internet Retail,XLY
EBAY,Consumer Cyclical,Internet Retail,XLY
HAS,Consumer Cyclical,Leisure,XLY
HLT,Consumer Cyclical,Lodging,XLY
MAR,Consumer Cyclical,Lodging,XLY
TPR,Consumer Cyclical,Luxury Goods,XLY
AMCR,Consumer Cyclical,Packaging & Containers,XLY
AVY,Consumer Cyclical,Packaging & Containers,XLY
BALL,Consumer Cyclical,Packaging & Containers,XLY
IP,Consumer Cyclical,Packaging & Containers,XLY
PKG,Consumer Cyclical,Packaging & Containers,XLY
SW,Consumer Cyclical,Packaging & Containers,XLY
ROL,Consumer Cyclical,Personal Services,XLY
DHI,Consumer Cyclical,Residential Construction,XLY
LEN,Consumer Cyclical,Residential Construction,XLY
NVR,Consumer Cyclical,Residential Construction,XLY
PHM,Consumer Cyclical,Residential Construction,XLY
CZR,Consumer Cyclical,Resorts & Casinos,XLY
LVS,Consumer Cyclical,Resorts & Casinos,XLY
MGM,Consumer Cyclical,Resorts & Casinos,XLY
WYNN,Consumer Cyclical,Resorts & Casinos,XLY
CMG,Consumer Cyclical,Restaurants,XLY
DPZ,Consumer Cyclical,Restaurants,XLY
DRI,Consumer Cyclical,Restaurants,XLY
MCD,Consumer Cyclical,Restaurants,XLY
SBUX,Consumer Cyclical,Restaurants,XLY
YUM,Consumer Cyclical,Restaurants,XLY
BBY,Consumer Cyclical,Specialty Retail,XLY
TSCO,Consumer Cyclical,Specialty Retail,XLY
ULTA,Consumer Cyclical,Specialty Retail,XLY
WSM,Consumer Cyclical,Specialty Retail,XLY
ABNB,Consumer Cyclical,Travel Services,XLY
BKNG,Consumer Cyclical,Travel Services,XLY
CCL,Consumer Cyclical,Travel Services,XLY
EXPE,Consumer Cyclical,Travel Services,XLY
NCLH,Consumer Cyclical,Travel Services,XLY
RCL,Consumer Cyclical,Travel Services,XLY
STZ,Consumer Defensive,Beverages - Brewers,XLP
TAP,Consumer Defensive,Beverages - Brewers,XLP
KDP,Consumer Defensive,Beverages - Non-Alcoholic,XLP
KO,Consumer Defensive,Beverages - Non-Alcoholic,XLP
MNST,Consumer Defensive,Beverages - Non-Alcoholic,XLP
PEP,Consumer Defensive,Beverages - Non-Alcoholic,XLP
BF-B,Consumer Defensive,Beverages - Wineries & Distilleries,XLP
HSY,Consumer Defensive,Confectioners,XLP
MDLZ,Consumer Defensive,Confectioners,XLP
COST,Consumer Defensive,Discount Stores,XLP
DG,Consumer Defensive,Discount Stores,XLP
DLTR,Consumer Defensive,Discount Stores,XLP
TGT,Consumer Defensive,Discount Stores,XLP
WMT,Consumer Defensive,Discount Stores,XLP
ADM,Consumer Defensive,Farm Products,XLP
